Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Spiritual Intelligence Scale--Chinese Form: Construction and Initial Validation","Current Psychology","","38","5","10.1007/s12144-017-9678-5","Ming FengXue-yuan XiongJin-jing Li","2019","http://link.springer.com/article/10.1007/s12144-017-9678-5","Article"
"The Effect of Emotional Intelligence on Work-Related Psychological Health Among Anglican Clergy in Wales","Journal of Religion and Health","","58","5","10.1007/s10943-019-00798-7","Leslie J. FrancisNeville J. EmslieV. John Payne","2019","http://link.springer.com/article/10.1007/s10943-019-00798-7","Article"
"Antecedents and outcomes of authentic leadership across culture: A meta-analytic review","Asia Pacific Journal of Management","","39","4","10.1007/s10490-021-09762-0","Yucheng ZhangYongxing GuoMeng ZhangShan XuXin LiuAlexander Newman","2022","http://link.springer.com/article/10.1007/s10490-021-09762-0","Article"
"Detecting dominant landscape objects through multiple scales: An integration of object-specific methods and watershed segmentation","Landscape Ecology","","19","1","10.1023/B:LAND.0000018371.43447.1f","Ola HallGeoffrey J. HayAndré BouchardDanielle J. Marceau","2004","http://link.springer.com/article/10.1023/B%3ALAND.0000018371.43447.1f","Article"
"Bridging In-school and Out-of-school Learning: Formal, Non-Formal, and Informal Education","Journal of Science Education and Technology","","16","2","10.1007/s10956-006-9027-1","Haim Eshach","2007","http://link.springer.com/article/10.1007/s10956-006-9027-1","Article"
"Who is really an excellent university student and how to identify them? A development of a comprehensive framework of excellence in higher education","European Journal of Psychology of Education","","39","4","10.1007/s10212-024-00865-y","Ivana MaškováDalibor KučeraAlena Nohavová","2024","http://link.springer.com/article/10.1007/s10212-024-00865-y","Article"
"Application of Structural Equation Modeling in Assessing the Relationship Between Stuttering Students' Cognitive and Metacognitive Strategies and Their Reading Comprehension Performance","Language Testing in Asia","","1","2","10.1186/2229-0443-1-2-7","Hamed GhaemiHamide Ghaemi","2011","http://link.springer.com/article/10.1186/2229-0443-1-2-7","Article"
"Proceedings of the World Molecular Imaging Congress 2020, October 7-9, 2020: General Abstracts","Molecular Imaging and Biology","","23","1","10.1007/s11307-021-01691-0","","2021","http://link.springer.com/article/10.1007/s11307-021-01691-0","Article"
"Pluralistic teaching","Nature Chemistry","","15","8","10.1038/s41557-023-01283-1","Bruce C. Gibb","2023","http://link.springer.com/article/10.1038/s41557-023-01283-1","Article"
"Advancing the Design and Implementation of Artificial Intelligence in Education through Continuous Improvement","International Journal of Artificial Intelligence in Education","","32","3","10.1007/s40593-021-00278-8","Ayesha BhimdiwalaRebecca Colina NeriLouis M. Gomez","2022","http://link.springer.com/article/10.1007/s40593-021-00278-8","Article"
"The prospect of artificial intelligence to personalize assisted reproductive technology","npj Digital Medicine","","7","1","10.1038/s41746-024-01006-x","Simon HanassabAli AbbaraArthur C. YeungMargaritis VoliotisKrasimira Tsaneva-AtanasovaTom W. KelseyGeoffrey H. TrewScott M. NelsonThomas HeinisWaljit S. Dhillo","2024","http://link.springer.com/article/10.1038/s41746-024-01006-x","Article"
"Should there be an “AI” in TEAM? Embryologists selection of high implantation potential embryos improves with the aid of an artificial intelligence algorithm","Journal of Assisted Reproduction and Genetics","","38","10","10.1007/s10815-021-02318-7","V. W. FitzM. K. KanakasabapathyP. ThirumalarajuH. KandulaL. B. RamirezL. BoehnleinJ. E. SwainC. L. CurchoeK. JamesI. DimitriadisI. SouterC. L. BormannH. Shafiee","2021","http://link.springer.com/article/10.1007/s10815-021-02318-7","Article"
"The Joint Influence of Supervisor and Subordinate Emotional Intelligence on Leader–Member Exchange","Journal of Business and Psychology","","25","4","10.1007/s10869-009-9152-y","Greg J. SearsCamilla M. Holmvall","2010","http://link.springer.com/article/10.1007/s10869-009-9152-y","Article"
"Exploring the rearrangement of sensory intelligence in proteobacteria: insight of Pho regulon","World Journal of Microbiology and Biotechnology","","34","11","10.1007/s11274-018-2551-3","Varsha JhaHitesh TikarihaNishant A. DafaleHemant J. Purohit","2018","http://link.springer.com/article/10.1007/s11274-018-2551-3","Article"
"Artificial intelligence and machine learning for human reproduction and embryology presented at ASRM and ESHRE 2018","Journal of Assisted Reproduction and Genetics","","36","4","10.1007/s10815-019-01408-x","Carol Lynn CurchoeCharles L. Bormann","2019","http://link.springer.com/article/10.1007/s10815-019-01408-x","Article"
"Abstracts of the 16th International Congress of ESCAP European Society for Child and Adolescent Psychiatry","European Child & Adolescent Psychiatry","","24","1","10.1007/s00787-015-0714-4","","2015","http://link.springer.com/article/10.1007/s00787-015-0714-4","Article"
"A Confirmatory Factor Analysis of the Wong and Law Emotional Intelligence Scale in a Sample of International College Students","International Journal for the Advancement of Counselling","","29","3 - 4","10.1007/s10447-007-9037-6","Kok-Mun NgChuang WangCarlos P. ZalaquettNancy Bodenhorn","2007","http://link.springer.com/article/10.1007/s10447-007-9037-6","Article"
"Multi-dimensional intelligence in smart physical objects","Information Systems Frontiers","","21","2","10.1007/s10796-017-9758-y","Federica CenaLuca ConsoleAssunta MatassaIlaria Torre","2019","http://link.springer.com/article/10.1007/s10796-017-9758-y","Article"
"Book Review: The EQ Edge. Emotional Intelligence and Your Success. Steven J. Stein and Howard E. Book, Stoddart Publishing Company, Toronto, Ontario, Canada, 2000, 276 pp., $14.95 (softbound)","Annals of Clinical Psychiatry","","14","4","10.1023/A:1021985504866","Richard Balon","2002","http://link.springer.com/article/10.1023/A%3A1021985504866","Article"
"Annual Congress of the European Association of Nuclear Medicine October 15-19, 2022 Barcelona, Spain","European Journal of Nuclear Medicine and Molecular Imaging","","49","1","10.1007/s00259-022-05924-4","","2022","http://link.springer.com/article/10.1007/s00259-022-05924-4","Article"
"Automatic detection of learning styles: state of the art","Artificial Intelligence Review","","44","2","10.1007/s10462-014-9422-6","Juan FeldmanAriel MonteserinAnalía Amandi","2015","http://link.springer.com/article/10.1007/s10462-014-9422-6","Article"
"Gastrointestinal Polyposis in Childhood: Clinicopathologic and Genetic Features","Pediatric and Developmental Pathology","","6","5","10.1007/s10024-002-0701-x","Amy LowichikW. Daniel JacksonCheryl M. Coffin","2003","http://link.springer.com/article/10.1007/s10024-002-0701-x","Article"
"Assessing supervisor versus trainee viewpoints of entrustment through cognitive and affective lenses: an artificial intelligence investigation of bias in feedback","Advances in Health Sciences Education","","29","5","10.1007/s10459-024-10311-9","Brian C. GinOlle ten CatePatricia S. O’SullivanChristy Boscardin","2024","http://link.springer.com/article/10.1007/s10459-024-10311-9","Article"
"Trait Emotional Intelligence as Mediator Between Psychological Control and Behaviour Problems","Journal of Child and Family Studies","","24","8","10.1007/s10826-014-0032-3","Maria C. GugliandoloSebastiano CostaFrancesca CuzzocreaRosalba Larcan","2015","http://link.springer.com/article/10.1007/s10826-014-0032-3","Article"
"Images of Artificial Intelligence: a Blind Spot in AI Ethics","Philosophy & Technology","","35","1","10.1007/s13347-022-00498-3","Alberto Romele","2022","http://link.springer.com/article/10.1007/s13347-022-00498-3","Article"
"Location intelligence dynamics and complexity: the questions of design strategy","GeoJournal","","87","5","10.1007/s10708-021-10468-5","Dragana Ćirić","2022","http://link.springer.com/article/10.1007/s10708-021-10468-5","Article"
"Assessment of artificial intelligence model and manual morphokinetic annotation system as embryo grading methods for successful live birth prediction: a retrospective monocentric study","Reproductive Biology and Endocrinology","","22","1","10.1186/s12958-024-01198-7","Myrto-Sotiria PapamentzelopoulouIlectra-Niki PriftiDespoina MavrogianniThomais TsevaNtilay SoyhanAikaterini AthanasiouAntonia AthanasiouAdamantios AthanasiouParaskevi VogiatziGeorge KonomosDimitrios LoutradisMaria Sakellariou","2024","http://link.springer.com/article/10.1186/s12958-024-01198-7","Article"
"The brain as artificial intelligence: prospecting the frontiers of neuroscience","AI & SOCIETY","","34","4","10.1007/s00146-018-0820-1","Steve Fuller","2019","http://link.springer.com/article/10.1007/s00146-018-0820-1","Article"
"Abstracts from the 2016 Society of General Internal Medicine Annual Meeting","Journal of General Internal Medicine","","31","2","10.1007/s11606-016-3657-7","","2016","http://link.springer.com/article/10.1007/s11606-016-3657-7","Article"
"Exploring Relationship Between Spiritual Intelligence, Religiosity and Life Satisfaction Among Elderly Pakistani Muslims","Journal of Religion and Health","","57","3","10.1007/s10943-017-0360-x","Khadeeja MunawarOmama Tariq","2018","http://link.springer.com/article/10.1007/s10943-017-0360-x","Article"
"Adolescent Social Media Use and Emotional Intelligence: A Systematic Review","Adolescent Research Review","","","","10.1007/s40894-024-00245-z","Lidia PiccerilloSimone Digennaro","2024","http://link.springer.com/article/10.1007/s40894-024-00245-z","Article"
"Spiritual intelligence and psychological wellbeing of Pakistani University students","Current Psychology","","43","6","10.1007/s12144-023-04717-8","Shahzad AnwarHina Rana","2024","http://link.springer.com/article/10.1007/s12144-023-04717-8","Article"
"A qualitative analysis of social intelligence in nonprofit organizations: external knowledge acquisition for human capital development, organizational learning and innovation","Knowledge Management Research & Practice","","13","4","10.1057/kmrp.2013.63","Eric Kong","2015","http://link.springer.com/article/10.1057/kmrp.2013.63","Article"
"Teasing out Artificial Intelligence in Medicine: An Ethical Critique of Artificial Intelligence and Machine Learning in Medicine","Journal of Bioethical Inquiry","","18","1","10.1007/s11673-020-10080-1","Mark Henderson Arnold","2021","http://link.springer.com/article/10.1007/s11673-020-10080-1","Article"
"Abstracts of the 50th EASD Annual Meeting","Diabetologia","","57","1","10.1007/s00125-014-3355-0","","2014","http://link.springer.com/article/10.1007/s00125-014-3355-0","Article"
"Can artificial intelligence benefit from quantum computing?","Progress in Artificial Intelligence","","3","2","10.1007/s13748-014-0059-0","Vicente Moret-Bonillo","2015","http://link.springer.com/article/10.1007/s13748-014-0059-0","Article"
"Abstracts of the 52nd Annual Conference of the Italian Society of Neurology","Neurological Sciences","","43","1","10.1007/s10072-022-06531-9","","2022","http://link.springer.com/article/10.1007/s10072-022-06531-9","Article"
"Understanding literacy as our WORLD inheritance: Re-visioning literacy discourse and its implications for teaching practice","International Review of Education","","58","4","10.1007/s11159-012-9297-1","Michelann ParrTerry A. Campbell","2012","http://link.springer.com/article/10.1007/s11159-012-9297-1","Article"
"Behavior Genetics Association 40th Annual Meeting Abstracts","Behavior Genetics","","40","6","10.1007/s10519-010-9392-7","","2010","http://link.springer.com/article/10.1007/s10519-010-9392-7","Article"
"Contents","Journal of Inherited Metabolic Disease","","29","1","10.1007/s10545-006-9995-6","","2006","http://link.springer.com/article/10.1007/s10545-006-9995-6","Article"
"An empirical analysis of the factors affecting social entrepreneurial intentions","Journal of Global Entrepreneurship Research","","7","1","10.1186/s40497-017-0067-1","Preeti TiwariAnil K. BhatJyoti Tikoria","2017","http://link.springer.com/article/10.1186/s40497-017-0067-1","Article"
"Teaching Explainable Artificial Intelligence to High School Students","International Journal of Computational Intelligence Systems","","13","1","10.2991/ijcis.d.200715.003","Jose M. Alonso","2020","http://link.springer.com/article/10.2991/ijcis.d.200715.003","Article"
"The effects of teacher’s emotional intelligence on team-member exchange and job performance: the moderating role of teacher seniority","Current Psychology","","43","5","10.1007/s12144-023-04593-2","Tzu-Ping LuJunjun Chen","2024","http://link.springer.com/article/10.1007/s12144-023-04593-2","Article"
"Health, self-regulation of bodily signals and intelligence: Review and hypothesis","Wiener klinische Wochenschrift","","122","23 - 24","10.1007/s00508-010-1481-3","Christian FazekasAnton LeitnerWalter Pieringer","2010","http://link.springer.com/article/10.1007/s00508-010-1481-3","Article"
"66TH ASMS Conference on Mass Spectrometry and Allied Topics","Journal of The American Society for Mass Spectrometry","","29","1","10.1007/s13361-018-1971-5","","2018","http://link.springer.com/article/10.1007/s13361-018-1971-5","Article"
"SGformer: Boosting transformers for indoor lighting estimation from a single image","Computational Visual Media","","10","4","10.1007/s41095-024-0447-8","Junhong ZhaoBing XueMengjie Zhang","2024","http://link.springer.com/article/10.1007/s41095-024-0447-8","Article"
"An Anatomy of Human Dignity; Dissecting the Heart of Humanistic Management","Humanistic Management Journal","","9","2","10.1007/s41463-024-00183-x","Danaë HuijserPatrick Nullens","2024","http://link.springer.com/article/10.1007/s41463-024-00183-x","Article"
"Establishing Criteria for High Ability versus Selective Admission to Gifted Programs: Implications for Policy and Practice","Educational Psychology Review","","12","3","10.1023/A:1009017922302","Barbara LouisRena F. SubotnikPolly Smith BrelandMichael Lewis","2000","http://link.springer.com/article/10.1023/A%3A1009017922302","Article"
"Annual Congress of the European Association of Nuclear Medicine October 13 – 17, 2018 Düsseldorf, Germany","European Journal of Nuclear Medicine and Molecular Imaging","","45","1","10.1007/s00259-018-4148-3","","2018","http://link.springer.com/article/10.1007/s00259-018-4148-3","Article"
"Abstracts of the 18th Congress of the European Geriatric Medicine Society","European Geriatric Medicine","","13","1","10.1007/s41999-022-00711-8","","2022","http://link.springer.com/article/10.1007/s41999-022-00711-8","Article"
"32nd Annual Computational Neuroscience Meeting: CNS*2023","Journal of Computational Neuroscience","","52","1","10.1007/s10827-024-00871-5","","2024","http://link.springer.com/article/10.1007/s10827-024-00871-5","Article"
"Applications of artificial intelligence for adolescent idiopathic scoliosis: mapping the evidence","Spine Deformity","","12","6","10.1007/s43390-024-00940-w","Samuel N. GoldmanAaron T. HuiSharlene ChoiEmmanuel K. MbamaluParsa TirabadyAnanth S. EleswarapuJaime A. GomezLeila M. AlvandiEric D. Fornari","2024","http://link.springer.com/article/10.1007/s43390-024-00940-w","Article"
"Artificial intelligence in forecasting central pressure drop and maximum sustained wind speed of cyclonic systems over Arabian Sea: skill comparison with conventional models","Meteorology and Atmospheric Physics","","133","3","10.1007/s00703-021-00777-2","Ishita SarkarSutapa ChaudhuriJayanti Pal","2021","http://link.springer.com/article/10.1007/s00703-021-00777-2","Article"
"Assuring quality in assisted reproduction laboratories: assessing the performance of ART Compass — a digital art staff management platform","Journal of Assisted Reproduction and Genetics","","40","2","10.1007/s10815-023-02713-2","Carol Lynn CurchoeCharles BormannElizabeth HammondScarlett SalterClaire TimlinLesley Blankenship WilliamsDaniella GilboaDaniel SeidmanAlison CampbellDean Morbeck","2023","http://link.springer.com/article/10.1007/s10815-023-02713-2","Article"
"Landslide susceptibility evaluating using artificial intelligence method in the Youfang district (China)","Environmental Earth Sciences","","78","15","10.1007/s12665-019-8415-9","Haoyuan HongJunzhi LiuA-Xing Zhu","2019","http://link.springer.com/article/10.1007/s12665-019-8415-9","Article"
"The Identification and Development of Giftedness as a Paradigm for School Reform","Journal of Science Education and Technology","","9","2","10.1023/A:1009429218821","Joseph S. Renzulli","2000","http://link.springer.com/article/10.1023/A%3A1009429218821","Article"
"The Role of Emotional Intelligence and Self-efficacy in EFL Teachers’ Technology Adoption","The Asia-Pacific Education Researcher","","33","4","10.1007/s40299-023-00782-6","Ran ZhiYunsong WangYongliang Wang","2024","http://link.springer.com/article/10.1007/s40299-023-00782-6","Article"
"Tapping the alphabets of learning-oriented assessment: self-assessment, classroom climate, mindsets, trait emotional intelligence, and academic engagement are in focus","Language Testing in Asia","","14","1","10.1186/s40468-024-00293-1","Ehsan NamaziandostHossein Kargar BehbahaniTahereh Heydarnejad","2024","http://link.springer.com/article/10.1186/s40468-024-00293-1","Article"
"The HeartMath coherence model: implications and challenges for artificial intelligence and robotics","AI & SOCIETY","","34","4","10.1007/s00146-018-0834-8","Stephen D. Edwards","2019","http://link.springer.com/article/10.1007/s00146-018-0834-8","Article"
"Enaction-Based Artificial Intelligence: Toward Co-evolution with Humans in the Loop","Minds and Machines","","19","3","10.1007/s11023-009-9165-3","Pierre De LoorKristen Manac’hJacques Tisseau","2009","http://link.springer.com/article/10.1007/s11023-009-9165-3","Article"
"Patterns to explore cognitive preferences and potential collective intelligence empathy for processing knowledge in virtual settings","Journal of Interaction Science","","3","1","10.1186/s40166-015-0006-y","Salim ChujfiChristoph Meinel","2015","http://link.springer.com/article/10.1186/s40166-015-0006-y","Article"
"Abstracts of the 54th Annual Conference of the Italian Society of Neurology","Neurological Sciences","","45","1","10.1007/s10072-024-07787-z","","2024","http://link.springer.com/article/10.1007/s10072-024-07787-z","Article"
"The application of artificial intelligence technology in education influences Chinese adolescent’s emotional perception","Current Psychology","","43","6","10.1007/s12144-023-04727-6","Tinghong LaiXianqin ZengBin XuChuyin XieYanxiu LiuZheng WangHong LuShimin Fu","2024","http://link.springer.com/article/10.1007/s12144-023-04727-6","Article"
"Artificial Intelligence, Algorithms and Sentencing in Chinese Criminal Justice: Problems and Solutions","Criminal Law Forum","","33","2","10.1007/s10609-022-09437-5","Jiahui Shi","2022","http://link.springer.com/article/10.1007/s10609-022-09437-5","Article"
"Acting with systems intelligence: integrating complex responsive processes with the systems perspective","Journal of the Operational Research Society","","62","1","10.1057/jors.2009.175","J LuomaR P HämäläinenE Saarinen","2011","http://link.springer.com/article/10.1057/jors.2009.175","Article"
"The rise and fall of emotional intelligence in police risk assessments of domestic abuse","Crime Prevention and Community Safety","","25","3","10.1057/s41300-023-00178-0","Anne Eason","2023","http://link.springer.com/article/10.1057/s41300-023-00178-0","Article"
"Examining Associations Among Emotional Intelligence, Creativity, Self-efficacy, and Simultaneous Interpreting Practice Through the Mediating Effect of Field Dependence/Independence: A Path Analysis Approach","Journal of Psycholinguistic Research","","51","2","10.1007/s10936-022-09836-0","Sima FerdowsiMohammad Hasan Razmi","2022","http://link.springer.com/article/10.1007/s10936-022-09836-0","Article"
"Application of optical network transmission based on machine learning and wireless sensor networks in artificial intelligence online education system","Mobile Networks and Applications","","","","10.1007/s11036-024-02404-x","Kefeng Li","2024","http://link.springer.com/article/10.1007/s11036-024-02404-x","Article"
"Research in Purpose and Value for the Study of Technology in Secondary Schools: A Theory of Authentic Learning","International Journal of Technology and Design Education","","15","1","10.1007/s10798-004-6195-2","Anne Marie HillHoward A. Smith","2005","http://link.springer.com/article/10.1007/s10798-004-6195-2","Article"
"SCIENTIFIC ABSTRACTS","Journal of General Internal Medicine","","33","2","10.1007/s11606-018-4413-y","","2018","http://link.springer.com/article/10.1007/s11606-018-4413-y","Article"
"Community Media 4 Kenya: a partnership approach to building collective intelligence","AI & SOCIETY","","33","1","10.1007/s00146-017-0726-3","Peter Day","2018","http://link.springer.com/article/10.1007/s00146-017-0726-3","Article"
"Ability emotional intelligence in parents and their offspring","Current Psychology","","42","4","10.1007/s12144-021-01617-7","Rosario CabelloRaquel Gómez-LealMaría José Gutiérrez-CoboAlberto Megías-RoblesPeter SaloveyPablo Fernández-Berrocal","2023","http://link.springer.com/article/10.1007/s12144-021-01617-7","Article"
"Navigating the Social Landscape: A Rationale and Method for Interpersonal Group Therapy with Pre-adolescent Boys","Journal of Child and Adolescent Group Therapy","","11","4","10.1023/A:1014710523358","Leonard Hedges-GoettlMarc Tannenbaum","2001","http://link.springer.com/article/10.1023/A%3A1014710523358","Article"
"Intelligence, policy-making and the 7 July 2005 London bombings","Crime, Law and Social Change","","44","4 - 5","10.1007/s10611-006-9027-3","Mark Phythian","2005","http://link.springer.com/article/10.1007/s10611-006-9027-3","Article"
"Towards Establishing Criteria for the Ethical Analysis of Artificial Intelligence","Science and Engineering Ethics","","26","5","10.1007/s11948-020-00238-w","Michele FariscoKathinka EversArleen Salles","2020","http://link.springer.com/article/10.1007/s11948-020-00238-w","Article"
"Measuring Emotional Intelligence Enhances the Psychological Evaluation of Chronic Pain","Journal of Clinical Psychology in Medical Settings","","24","3 - 4","10.1007/s10880-017-9515-x","Eva M. DohertyRosemary WalshLeanne AndrewsSusan McPherson","2017","http://link.springer.com/article/10.1007/s10880-017-9515-x","Article"
"The Bell Curve in Psychological Research and Practice: Myth or Reality?","Quality and Quantity","","40","3","10.1007/s11135-005-6104-0","Riccardo Sartori","2006","http://link.springer.com/article/10.1007/s11135-005-6104-0","Article"
"World Congress on Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (WCO-IOF-ESCEO 2024)","Aging Clinical and Experimental Research","","36","1","10.1007/s40520-024-02766-y","","2024","http://link.springer.com/article/10.1007/s40520-024-02766-y","Article"
"The Meaning of Life in a Developing Universe","Foundations of Science","","15","4","10.1007/s10699-010-9184-9","John E. Stewart","2010","http://link.springer.com/article/10.1007/s10699-010-9184-9","Article"
"Multiple collapses of blastocysts after full blastocyst formation is an independent risk factor for aneuploidy — a study based on AI and manual validation","Reproductive Biology and Endocrinology","","22","1","10.1186/s12958-024-01242-6","Lei JinKeyi SiZhou LiHui HeLi WuBingxin MaXinling RenBo Huang","2024","http://link.springer.com/article/10.1186/s12958-024-01242-6","Article"
"Contents","Journal of Inherited Metabolic Disease","","30","1","10.1007/s10545-007-9987-1","","2007","http://link.springer.com/article/10.1007/s10545-007-9987-1","Article"
"What constitutes “social complexity” and “social intelligence” in birds? Lessons from ravens","Behavioral Ecology and Sociobiology","","73","1","10.1007/s00265-018-2607-2","Palmyre H. BoucherieMatthias-Claudio LorettoJorg J. M. MassenThomas Bugnyar","2019","http://link.springer.com/article/10.1007/s00265-018-2607-2","Article"
"Exploring Teachers’ Perceptions of Artificial Intelligence as a Tool to Support their Practice in Estonian K-12 Education","International Journal of Artificial Intelligence in Education","","32","3","10.1007/s40593-021-00243-5","Irene-Angelica ChountaEmanuele BardoneAet RaudsepMargus Pedaste","2022","http://link.springer.com/article/10.1007/s40593-021-00243-5","Article"
"What happened to cognitive science?","Nature Human Behaviour","","3","8","10.1038/s41562-019-0626-2","Rafael NúñezMichael AllenRichard GaoCarson Miller RigoliJosephine Relaford-DoyleArturs Semenuks","2019","http://link.springer.com/article/10.1038/s41562-019-0626-2","Article"
"ESNR 2023","Neuroradiology","","65","1","10.1007/s00234-023-03203-z","","2023","http://link.springer.com/article/10.1007/s00234-023-03203-z","Article"
"Debiasing Education Algorithms","International Journal of Artificial Intelligence in Education","","","","10.1007/s40593-023-00389-4","Jamiu Adekunle Idowu","2024","http://link.springer.com/article/10.1007/s40593-023-00389-4","Article"
"A history of AI and Law in 50 papers: 25 years of the international conference on AI and Law","Artificial Intelligence and Law","","20","3","10.1007/s10506-012-9131-x","Trevor Bench-CaponMichał AraszkiewiczKevin AshleyKatie AtkinsonFloris BexFilipe BorgesDaniele BourcierPaul BourgineJack G. ConradEnrico FrancesconiThomas F. GordonGuido GovernatoriJochen L. LeidnerDavid D. LewisRonald P. LouiL. Thorne McCarty","2012","http://link.springer.com/article/10.1007/s10506-012-9131-x","Article"
"First principles of instruction","Educational Technology Research and Development","","50","3","10.1007/BF02505024","M. David Merrill","2002","http://link.springer.com/article/10.1007/BF02505024","Article"
"Development and implementation of clinical guidelines: An artificial intelligence perspective","Artificial Intelligence Review","","42","4","10.1007/s10462-013-9402-2","Tiago OliveiraPaulo NovaisJosé Neves","2014","http://link.springer.com/article/10.1007/s10462-013-9402-2","Article"
"Artificial intelligence self-efficacy: Scale development and validation","Education and Information Technologies","","29","4","10.1007/s10639-023-12015-w","Yu-Yin WangYu-Wei Chuang","2024","http://link.springer.com/article/10.1007/s10639-023-12015-w","Article"
"No man’s hand: artificial intelligence does not improve police report writing speed","Journal of Experimental Criminology","","","","10.1007/s11292-024-09644-7","Ian T. AdamsMatt BarterKyle McLeanHunter M. BoehmeIrick A. Geary Jr.","2024","http://link.springer.com/article/10.1007/s11292-024-09644-7","Article"
"Behavior Genetics Association 39th Annual Meeting Abstracts","Behavior Genetics","","39","6","10.1007/s10519-009-9307-7","","2009","http://link.springer.com/article/10.1007/s10519-009-9307-7","Article"
"Emotional intelligence in Greek teacher education: Findings from a short intervention","Current Psychology","","42","11","10.1007/s12144-021-02226-0","KyriazopoulouSotiria Pappa","2023","http://link.springer.com/article/10.1007/s12144-021-02226-0","Article"
"Bidirectional Relationship Between Emotional Intelligence and Perceptions of Resilience in Young Adolescents: A Twenty-Month Longitudinal Study","Child & Youth Care Forum","","50","2","10.1007/s10566-020-09578-x","Yuanxia ZhengDan CaiJia-Lin ZhaoCaiyun YangTian XiaZhening Xu","2021","http://link.springer.com/article/10.1007/s10566-020-09578-x","Article"
"The Effect of Meaning in Life and Emotional Intelligence on Work-Related Psychological Well-Being Among Roman Catholic Priests in Indonesia","Pastoral Psychology","","","","10.1007/s11089-024-01185-0","Kurniawan Dwi Madyo UtomoRobertus Pius ManikIgnasius Budiono","2024","http://link.springer.com/article/10.1007/s11089-024-01185-0","Article"
"Are you intelligent or rational? On the independence of intelligence quotient from rationality quotient","Current Psychology","","43","23","10.1007/s12144-024-05819-7","Nasser NoshadiHajar NazarpourFariborz Nikdel","2024","http://link.springer.com/article/10.1007/s12144-024-05819-7","Article"
"Model of an intelligent smart home system based on ambient intelligence and user profiling","Journal of Ambient Intelligence and Humanized Computing","","14","5","10.1007/s12652-021-03081-4","Igor ĐuricDusan BaracZorica BogdanovicAleksandra LabusBozidar Radenkovic","2023","http://link.springer.com/article/10.1007/s12652-021-03081-4","Article"
"Bacterial intelligence: imitation games, time-sharing, and long-range quantum coherence","Journal of Cell Communication and Signaling","","11","3","10.1007/s12079-017-0394-6","Sarangam MajumdarSukla Pal","2017","http://link.springer.com/article/10.1007/s12079-017-0394-6","Article"
"The Relationships between Emotional Intelligence and Perceptions of Faculty Incivility in Higher Education. Do Men and Women Differ?","Current Psychology","","36","4","10.1007/s12144-016-9479-2","Yariv ItzkovichNiva Dolev","2017","http://link.springer.com/article/10.1007/s12144-016-9479-2","Article"
"Will Intelligent Latter-day Saints and Smart Conservatives Inherit the Earth? Differential Selection for Intelligence in the USA Based on Religiosity and Conservatism","Evolutionary Psychological Science","","9","1","10.1007/s40806-022-00327-y","Emil KirkegaardEdward Dutton","2023","http://link.springer.com/article/10.1007/s40806-022-00327-y","Article"
"Impacts of Outdoor Activities, Demographic Variables and Emotional Intelligence on Life Satisfaction: An Econometric Application of a Case in Turkey","Social Indicators Research","","113","3","10.1007/s11205-012-0118-5","Faik ArdahanMehmet Mert","2013","http://link.springer.com/article/10.1007/s11205-012-0118-5","Article"
"2001 DIVISION 27 PRESIDENTIAL ADDRESS: Emotional Intelligence and the Good Community","American Journal of Community Psychology","","30","1","10.1023/A:1014367914754","Cary Cherniss","2002","http://link.springer.com/article/10.1023/A%3A1014367914754","Article"
"Women’s Spiritual Intelligence is Associated With Fewer Depression Symptoms: Exploratory Results From a Canadian Sample","Journal of Religion and Health","","61","1","10.1007/s10943-021-01412-5","Augustine ParattukudiHillary MaxwellSacha DuboisMichel Bédard","2022","http://link.springer.com/article/10.1007/s10943-021-01412-5","Article"
"AI as a challenge for legal regulation – the scope of application of the artificial intelligence act proposal","ERA Forum","","23","3","10.1007/s12027-022-00725-6","Jun.-Prof. Dr. Hannah Ruschemeier","2023","http://link.springer.com/article/10.1007/s12027-022-00725-6","Article"
"The effects of emotional intelligence on service recovery and organizational loyalty: a case of flight attendants of South Korean airlines","Service Business","","7","4","10.1007/s11628-012-0181-7","Jung-Hyun LeeMin-su KimAeeun Jeon","2013","http://link.springer.com/article/10.1007/s11628-012-0181-7","Article"
"Emotional intelligence and stress coping in dental undergraduates — a qualitative study","British Dental Journal","","197","4","10.1038/sj.bdj.4811573","A K H PauR CroucherR SohanpalV MuirheadK Seymour","2004","http://link.springer.com/article/10.1038/sj.bdj.4811573","Article"
"The impact of artificial intelligence and digital style on industry and energy post-COVID-19 pandemic","Environmental Science and Pollution Research","","28","34","10.1007/s11356-021-15292-5","Abbas SharifiMohsen AhmadiAli Ala","2021","http://link.springer.com/article/10.1007/s11356-021-15292-5","Article"
"Psychometric Properties of Computerized Cognitive Tools and Standard Neuropsychological Tests Used to Assess Sport Concussion: A Systematic Review","Neuropsychology Review","","33","4","10.1007/s11065-022-09553-4","Kristin WilmothBenjamin L. BrettNatalie A. EmmertCarolyn M. CookJeffrey SchaffertTodd Caze IIThomas KotsonisMargaret CusickGary SolomonJacob E. ReschC. Munro CullumLindsay D. NelsonMichael McCrea","2023","http://link.springer.com/article/10.1007/s11065-022-09553-4","Article"
